user_1,user_2,weight,example_discussions
BeneBot*,Succu,14325,WikidataRequestsfordeletionsArchive20130511.json || [[Q2247451]] ; WikidataRequestsfordeletionsArchive20130617.json || [[Q6965663]] ; WikidataRequestsfordeletionsArchive20130625.json || [[Q2877827]]
BeneBot*,Marcol-it,14051,WikidataRequestsfordeletionsArchive20130620.json || [[Q9126234]] ; WikidataRequestsfordeletionsArchive20130701.json || [[Q3722354]] ; WikidataRequestsfordeletionsArchive20130701.json || [[Q3722356]]
Ary29,BeneBot*,7593,WikidataRequestsfordeletionsArchive20130422.json || [[Q10277640]] ; WikidataRequestsfordeletionsArchive20130422.json || [[Q1117117]] ; WikidataRequestsfordeletionsArchive20130422.json || [[Q11307862]]
BeneBot*,Calak,6555,WikidataRequestsfordeletionsArchive20130425.json || [[Q5989961]] ; WikidataRequestsfordeletionsArchive20130425.json || [[Q5990275]] ; WikidataRequestsfordeletionsArchive20130429.json || [[Q7218016]]
AttoRenato,BeneBot*,4725,WikidataRequestsfordeletionsArchive20131120.json || [[Q3607832]] ; WikidataRequestsfordeletionsArchive20131127.json || [[Q3930499]] ; WikidataRequestsfordeletionsArchive20140203.json || [[Q8948220]]
BeneBot*,Lymantria,4564,WikidataRequestsfordeletionsArchive20130421.json || [[Q11705947]] ; WikidataRequestsfordeletionsArchive20130421.json || [[Q6520265]] ; WikidataRequestsfordeletionsArchive20130421.json || [[Q7207333]]
BeneBot*,GZWDer,3929,WikidataRequestsfordeletionsArchive20130428.json || [[Q10877076]] ; WikidataRequestsfordeletionsArchive20130428.json || [[Q10878496]] ; WikidataRequestsfordeletionsArchive20130428.json || [[Q10916288]]
BeneBot*,Pütz M.,3382,WikidataRequestsfordeletionsArchive20131211.json || [[Q15298219]] ; WikidataRequestsfordeletionsArchive20140227.json || [[Q15838453]] ; WikidataRequestsfordeletionsArchive20140227.json || [[Q15838475]]
Art-top,BeneBot*,3101,WikidataRequestsfordeletionsArchive20130430.json || [[Q4329980]] ; WikidataRequestsfordeletionsArchive20130520.json || [[Q4196400]] ; WikidataRequestsfordeletionsArchive20130614.json || [[Q10313781]]
BeneBot*,Rippitippi,3003,WikidataRequestsfordeletionsArchive20130715.json || [[Q13365853]] ; WikidataRequestsfordeletionsArchive20130715.json || [[Q2999168]] ; WikidataRequestsfordeletionsArchive20130715.json || [[Q2999170]]
BeneBot*,Jianhui67,2861,WikidataRequestsfordeletionsArchive20131126.json || [[Q11983391]] ; WikidataRequestsfordeletionsArchive20131126.json || [[Q12793770]] ; WikidataRequestsfordeletionsArchive20131126.json || [[Q12804277]]
BeneBot*,Holger1959,2830,WikidataRequestsfordeletionsArchive20130407.json || [[Q3721004]] ; WikidataRequestsfordeletionsArchive20130407.json || [[Q8218018]] ; WikidataRequestsfordeletionsArchive20130407.json || [[Q8874338]]
BeneBot*,Ermanon,2660,WikidataRequestsfordeletionsArchive20130425.json || [[Q3902075]] ; WikidataRequestsfordeletionsArchive20130506.json || [[Q3827099]] ; WikidataRequestsfordeletionsArchive20130517.json || [[Q9096427]]
BeneBot*,Laddo,2171,WikidataRequestsfordeletionsArchive20130628.json || [[Q10859042]] ; WikidataRequestsfordeletionsArchive20130717.json || [[Q13426629]] ; WikidataRequestsfordeletionsArchive20130719.json || [[Q13965213]]
BeneBot*,Epìdosis,2160,WikidataRequestsfordeletionsArchive20131018.json || [[Q123650]] ; WikidataRequestsfordeletionsArchive20131018.json || [[Q14182546]] ; WikidataRequestsfordeletionsArchive20131018.json || [[Q14702451]]
DeltaBot,Quakewoody,2131,WikidataRequestsfordeletionsArchive20190607.json || [[Q64409972]] ; WikidataRequestsfordeletionsArchive20190608.json || [[Q61593490]] ; WikidataRequestsfordeletionsArchive20190608.json || [[Q63315485]]
BeneBot*,Dre Rock,2015,WikidataRequestsfordeletionsArchive20130428.json || [[Q9102478]] ; WikidataRequestsfordeletionsArchive20130428.json || [[Q9317520]] ; WikidataRequestsfordeletionsArchive20130503.json || [[Q9276286]]
BeneBot*,Ivan A. Krestinin,2001,WikidataRequestsfordeletionsArchive20130623.json || [[Q13527912]] ; WikidataRequestsfordeletionsArchive20130623.json || [[Q295726]] ; WikidataRequestsfordeletionsArchive20130627.json || [[Q12886382]]
BeneBot*,Brya,1993,WikidataRequestsfordeletionsArchive20130725.json || [[Q10028207]] ; WikidataRequestsfordeletionsArchive20130725.json || [[Q10034112]] ; WikidataRequestsfordeletionsArchive20130725.json || [[Q10080697]]
BeneBot*,Jafeluv,1931,WikidataRequestsfordeletionsArchive20131013.json || [[Q12941707]] ; WikidataRequestsfordeletionsArchive20131013.json || [[Q12941753]] ; WikidataRequestsfordeletionsArchive20131013.json || [[Q12941866]]
