node_id,username
0,&#38;beer&#38;love
1,&#42;Treker
2,-
3,--
4,-revi
5,1-Byte
6,108.28.200.172
7,12.69.234.201
8,1234qwer1234qwer4
9,130.88.141.34
10,141.58.44.204
11,159.153.60.73
12,176.198.186.125
13,184.23.19.186
14,188.108.136.88
15,193.43.176.15
16,195.145.215.1
17,1997kB
18,1rhb
19,2.202.171.32
20,2.206.0.14
21,2001:7D0:81DA:F780:A8E0:C965:57F9:B464
22,2001:7D0:81DA:F780:C2B:13D8:4F3:FF6
23,2001:7D0:81F7:B580:1C97:842B:5D5A:38E3
24,2001:7D0:81F7:B580:299E:A91:B1F3:A29F
25,2001:7D0:81F7:B580:3065:414E:F0E5:1342
26,2001:7D0:81F7:B580:31C7:4322:AF7:16AD
27,2001:7D0:81F7:B580:4AF:6DEB:D81E:B89F
28,2001:7D0:81F7:B580:4C95:BBA3:10F8:D185
29,2001:7D0:81F7:B580:55AF:BB3D:3B1A:D1F8
