node_id,username,degree,comment_count,page_count,discussion_count
749,Jura1,329,622,153,622
1469,VIGNERON,187,264,63,264
1438,TomT0m,186,185,74,185
1342,Snipre,183,232,42,232
644,Infovarius,182,164,63,164
1372,Succu,157,260,94,260
791,Kolja21,131,106,19,106
1081,PKM,124,161,48,161
190,ArthurPSmith,119,143,36,143
266,Brya,119,231,68,231
1434,Tobias1984,117,260,122,260
1128,Pigsonthewing,110,79,50,79
359,Daniel Mietchen,109,162,74,162
1003,Multichill,108,141,30,141
1583,Zolo,97,107,29,107
707,Jheald,95,134,55,134
676,Jane023,93,143,27,143
250,Bluerasberry,91,120,43,120
983,MisterSynergy,86,91,21,91
462,Epìdosis,81,75,23,75
