node_id,username,degree,degree_centrality,betweenness_centrality
368,Pasleim,226,0.4101633393829401,0.25824347093056155
270,Jura1,198,0.35934664246823955,0.21445667333630625
319,Matěj Suchánek,152,0.27586206896551724,0.14196994433049973
494,ValterVB,98,0.1778584392014519,0.05766161243553726
376,Pigsonthewing,94,0.1705989110707804,0.03991964243237561
167,Edoderoo,82,0.14882032667876588,0.051003418490151914
342,Multichill,82,0.14882032667876588,0.03483264311352218
398,Ricordisamoa,68,0.1234119782214156,0.032597040574826715
444,Succu,68,0.1234119782214156,0.024390343481765758
429,Sjoerddebruin,63,0.11433756805807622,0.014750373712241499
165,Edgars2007,62,0.11252268602540834,0.03190687040276619
530,Zolo,58,0.10526315789473684,0.015425924463334293
351,Nikki,53,0.09618874773139746,0.013677837347642122
236,Innocent bystander,49,0.08892921960072595,0.009043876534566833
503,Vojtěch Dostál,48,0.08711433756805807,0.03199252091183645
432,Snipre,48,0.08711433756805807,0.020373889878942175
240,Izno,48,0.08711433756805807,0.006554913121664884
199,GZWDer,47,0.0852994555353902,0.012165718092260502
174,Emw,47,0.0852994555353902,0.011941606821191102
235,Infovarius,46,0.08348457350272231,0.009876665914713308
