distance_r,observed_k,upper_envelope,lower_envelope,observed_above_upper,observed_below_lower
,0.0,0.0,0.0,False,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
inf,27368.930136508847,23232.693690995555,7065.1413028324905,True,False
